"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"41","인천광역시 부평구 산곡동","180-78","0180","0078","부평신일해피트리더루츠","84.9860","202312","26","60,500","-","15","-","-","2022","산곡로 31","-","중개거래","인천 부평구","-"
"42","인천광역시 부평구 산곡동","507","0507","0000","금호이수마운트밸리","84.9588","202312","26","53,000","-","10","-","-","2007","원적로 344","-","중개거래","인천 부평구","-"
"43","인천광역시 부평구 산곡동","264-1","0264","0001","뉴서울(264-1)","74.3300","202312","26","21,000","202","4","-","-","1991","부흥로123번길 36","-","중개거래","인천 부평구","24.01.26"
"44","인천광역시 부평구 산곡동","산47-22","0047","0022","청하","60.1200","202312","26","14,000","-","2","-","-","1990","화랑로47번길 60-5","-","중개거래","인천 부평구","24.02.08"
"45","인천광역시 부평구 산곡동","311-126","0311","0126","현대2차","59.9000","202312","26","28,200","204","14","-","-","1988","안남로 91","-","중개거래","인천 부평구","24.03.29"
"46","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","59.9900","202312","26","40,000","101","6","-","-","2005","굴포로 105","-","중개거래","인천 부평구","24.03.04"
"47","인천광역시 부평구 삼산동","453-1","0453","0001","삼산타운7단지","84.9600","202312","26","64,500","713","12","-","-","2004","체육관로 27","-","중개거래","인천 부평구","24.02.27"
"48","인천광역시 부평구 삼산동","56-3","0056","0003","삼보","57.8200","202312","26","17,250","2","6","-","-","1990","후정동로47번길 4","-","중개거래","인천 부평구","24.02.28"
"49","인천광역시 부평구 청천동","397","0397","0000","동양","40.5600","202312","26","14,000","5","3","-","-","1982","안남로417번길 35","-","중개거래","인천 부평구","24.01.09"
"50","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","59.8800","202312","25","28,900","203","3","-","-","1999","원적로 361","-","중개거래","인천 부평구","24.03.20"
"51","인천광역시 부평구 십정동","629","0629","0000","서희스타힐스부평센트럴","66.3137","202312","25","41,800","104동","11","-","-","2021","상정로 41","-","중개거래","인천 부평구","24.02.27"
"52","인천광역시 부평구 부평동","407-8","0407","0008","삼성(407-8)","52.0800","202312","24","14,800","-","2","-","-","2002","주부토로66번길 18-9","-","중개거래","인천 부평구","24.01.24"
"53","인천광역시 부평구 산곡동","264-1","0264","0001","뉴서울(264-1)","74.3300","202312","24","21,500","202","11","-","-","1991","부흥로123번길 36","-","중개거래","인천 부평구","24.02.02"
"54","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","59.8200","202312","24","36,500","15","12","-","-","1996","부흥로 246","-","중개거래","인천 부평구","24.01.29"
"55","인천광역시 부평구 갈산동","361-3","0361","0003","대동2","84.6000","202312","24","32,500","204","17","-","-","1993","주부토로 201","-","중개거래","인천 부평구","24.03.18"
"56","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","36.0986","202312","24","29,500","101","12","-","-","2023","동수천로 71","-","중개거래","인천 부평구","24.02.28"
